LANGUAGE,English,German,Czech,Russian,Polish,Spanish,Korean
STR_CREDITS02,Programming,Programmierung,Programátoøi,Ïğîãğàììèğîâàíèå,Programowanie,Progamación,ÇÁ·Î±×·¡¹Ö
STR_CREDITS03,Artwork,Künstlerische Gestaltung,Vıtvarníci,Õóäîæíèêè,Strona artystyczna,Arte,¾ÆÆ®¿öÅ©
STR_CREDITS04,Design,Design,Design,Äèçàéí,Projektowanie,Diseño,µğÀÚÀÎ
STR_CREDITS05,Landscape Editing,Landschaftsbearbeitung,Úprava krajiny,Ğåäàêòèğîâàíèå ëàíäøàôòà,Przygotowanie krajobrazu,Edición de paisajes,¹è°æ ÆíÁı
STR_CREDITS06,Motion Capture Performance,Motion Capture-Modell,Pohyby pøedvádìl,İôôåêòèâíîñòü çàõâàòà äâèæåíèé,Zdjêcia,"
Rendimiento de captura de movimiento",¸ğ¼Ç Ä¸Ã³
STR_CREDITS07,Additional Tools Programming,Programmierung zusätzlicher Tools,Programování nástrojù,Äîïîëíèòåëüíûå ïğîãğàììû,Programowanie dodatkowych narzêdzi,"
Programación de herramientas adicionales",Ãß°¡ ÇÁ·Î±×·¡¹Ö µµ±¸
STR_CREDITS08,Original Music Score,Titelmusik,Pùvodní hudba,Îğèãèíàëüíàÿ Îöåíêà Ìóçûêè,Oryginalna muzyka,Puntuación de la música original,Å¸ÀÌÆ² À½¾Ç
STR_CREDITS09,Additional Music Tracks,Weitere Musik,Další hudba,Äîïîëíèòåëüíàÿ ìóçûêà,Dodatkowe nagrania,"
Pistas de música adicionales",Ãß°¡ À½¾Ç Æ®·¢
STR_CREDITS10,Sound Effects,Soundeffekte,Zvukové efekty,Çâóêîâûå ıôôåêòû,Efekty dŸwiêkowe,Efectos de sonido,»ç¿îµå ÀÌÆåÆ®
STR_CREDITS11,Special Thanks,Besonderer Dank an,Zvlášní podìkování,Îñîáàÿ áëàãîäàğíîñòü,Podziêkowania specjalne,Agradecimientos especiales,µµ¿òÀ» ÁÖ½Å ºĞµé
,,,,,,,
,,,,,,,
,,,,,,,
STR_CREDITSN01,Marek Španìl,Marek Španìl,Marek Španìl,Marek Španìl,Marek Španìl,Marek Španìl,Marek Španìl
STR_CREDITSN02,Ondøej Španìl\n Jiøí Martinek,Ondøej Španìl\n Jiøí Martinek,Ondøej Španìl\nJiøí Martinek,Ondøej Španìl\n Jiøí Martinek,Ondøej Španìl\nJiøí Martinek,Ondøej Španìl\n Jiøí Martinek,Ondøej Španìl\n Jiøí Martinek
STR_CREDITSN03,Jan Hovora\nPetr Pechar\nKamila Clarová\nPetr Víšek\nKarel Matìjka,Jan Hovora\nPetr Pechar\nKamila Clarová\nPetr Víšek\nKarel Matìjka,Jan Hovora\nPetr Pechar\nKamila Clarová\nPetr Víšek\nKarel Matìjka,Jan Hovora\nPetr Pechar\nKamila Clarová\nPetr Víšek\nKarel Matìjka,Jan Hovora\nPetr Pechar\nKamila Clarová\nPetr Víšek\nKarel Matìjka,Jan Hovora\nPetr Pechar\nKamila Clarová\nPetr Víšek\nKarel Matìjka,Jan Hovora\nPetr Pechar\nKamila Clarová\nPetr Víšek\nKarel Matìjka
STR_CREDITSN04,Viktor Bocan\nVojtìch Novák\nAdam Bílek\nRobert Štípek\nTomáš Pulkrábek\nJan Kraml,Viktor Bocan\nVojtìch Novák\nAdam Bílek\nRobert Štípek\nTomáš Pulkrábek\nJan Kraml,Viktor Bocan\nVojtìch Novák\nAdam Bílek\nRobert Štipek\nTomáš Pulkrábek\nJan Kraml,Viktor Bocan\nVojtìch Novák\nAdam Bílek\nRobert Štípek\nTomáš Pulkrábek\nJan Kraml,Viktor Bocan\nVojtìch Novák\nAdam Bílek\nRobert Štipek\nTomáš Pulkrábek\nJan Kraml,Viktor Bocan\nVojtìch Novák\nAdam Bílek\nRobert Štípek\nTomáš Pulkrábek\nJan Kraml,Viktor Bocan\nVojtìch Novák\nAdam Bílek\nRobert Štípek\nTomáš Pulkrábek\nJan Kraml
STR_CREDITSN05,Štepán Kment\nMelanie Novotná,Štepán Kment\nMelanie Novotná,Štepán Kment\nMelanie Novotná,Štepán Kment\nMelanie Novotná,Štepán Kment\nMelanie Novotná,Štepán Kment\nMelanie Novotná,Štepán Kment\nMelanie Novotná
STR_CREDITSN06,Bohumil Trnka,Bohumil Trnka,Bohumil Trnka,Bohumil Trnka,Bohumil Trnka,Bohumil Trnka,Bohumil Trnka
STR_CREDITSN07,Ondøej Novák\nLuboš Pácal,Ondøej Novák\nLuboš Pácal,Ondøej Novák\nLuboš Pácal,Ondøej Novák\nLuboš Pácal,Ondøej Novák\nLuboš Pácal,Ondøej Novák\nLuboš Pácal,Ondøej Novák\nLuboš Pácal
STR_CREDITSN08,Ondøej Matìjka,Ondøej Matìjka,Ondøej Matìjka,Ondøej Matìjka,Ondøej Matìjka,Ondøej Matìjka,Ondøej Matìjka
STR_CREDITSN09,Lifeless \n\nOverdose\nI’m Gonna Fly\nDecide,Lifeless \n\nOverdose\nI’m Gonna Fly\nDecide,Lifeless \n\nOverdose\nI'm Gonna Fly\nDecide,Lifeless \n\nOverdose\nI'm Gonna Fly\nDecide,Lifeless \n\nOverdose\nI'm Gonna Fly\nDecide,Lifeless \n\nOverdose\nI’m Gonna Fly\nDecide,Lifeless \n\nOverdose\nI’m Gonna Fly\nDecide
STR_CREDITSN09a,(Dedicated to memory of Sgt. Tom Birnie),(Zum Gedenken an Feldw. Tom Birnie),(Vìnováno památce Sgt. Toma Birnie),(Ïîñâÿùàåòñÿ ïàìÿòè Cåğæàíòà Tom Birnie),(Vìnováno památce Sgt. Toma Birnie),(Dedicated to memory of Sgt. Tom Birnie),(Àü³äÇÏ°í ¸Ş¸ğ¸®ÀÇ Sgt. Tom Birnie)
STR_CREDITSN09b,"Composed by Lagettie / Reid and performed by \n\n\n(David Lagettie, Michael Reid, Luke Aldridge,\n Amy Dewhurst, Nathan Taylor)","Musik/Text: Lagettie/Reid. Gespielt von: \n\n\n(David Lagettie, Michael Reid, Luke Aldridge,\n Amy Dewhurst, Nathan Taylor)","Sloil Lagettie / Reid a hraje \n\n\n(David Lagettie, Michael Reid, Luke Aldridge,\n Amy Dewhurst, Nathan Taylor)","Ïîıçèÿ è ìóçûêà Lagettie / Reid \n\n\n(David Lagettie, Michael Reid,\n Luke Aldridge, Amy Dewhurst,\n Nathan Taylor)","Sloil Lagettie / Reid a hraje \n\n\n(David Lagettie, Michael Reid, Luke Aldridge,\n Amy Dewhurst, Nathan Taylor)",,"ÀÛ¼ºÀÚ Lagettie / ¸®µåÇÏ°í ¼öÇàÀÚ \n\n\n(David Lagettie, Michael Reid, Luke Aldridge,\n Amy Dewhurst, Nathan Taylor)"
STR_CREDITSN09c,Seventh,Seventh,Seventh,Seventh,Seventh,,Seventh
,,,,,,,
STR_CREDITSN10,Robert Stevenson\nOndøej Matìjka\nBeaufort C. Addison IV,Robert Stevenson\nOndøej Matìjka\nBeaufort C. Addison IV,Robert Stevenson\nOndøej Matìjka\nBeaufort C. Addison IV,Robert Stevenson\nOndøej Matìjka\nBeaufort Clifton Addison 3,Robert Stevenson\nOndøej Matìjka\nBeaufort C. Addison IV,,Robert Stevenson\nOndøej Matìjka\nBeaufort C. Addison IV
STR_CREDITSN11,AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomír Pavlíèek\nFernando Santamaria\nVladan Marek\nAdam Moore,AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomír Pavlíèek\nFernando Santamaria\nVladan Marek\nAdam Moore,AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomír Pavlíèek\nFernando Santamaria\nVladan Marek\nAdam Moore,AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomír Pavlíèek\nFernando Santamaria\nVladan Marek,AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomír Pavlíèek\nFernando Santamaria\nVladan Marek\nAdam Moore,AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomír Pavlíèek\nFernando Santamaria\nVladan Marek\nAdam Moore,AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomír Pavlíèek\nFernando Santamaria\nVladan Marek\nAdam Moore
,,,,,,,
STR_CREDITS12,Published by,Veröffentlicht von,Vydavatel,Ğåëèç,Wydawca,Publicado por,¹èÆ÷ÀÚ
STR_CREDITS12a,Developed by,Entwickelt von,Vıroba,Ğàçğàáîòêà,Opracowanie,Desarrollado por,°³¹ßÀÚ
STR_CREDITS13,External Producer,Externe Produktion,Externí producent,Âíåøíèé Ïğîäşññåğ,Producent zewnêtrzny,Productor externo,¿ÜºÎ Á¦ÀÛÀÚ
STR_CREDITS14,Design/Script,Design/Skript,Scénáø,Äèçàéí/Ñêğèïòû,Projekt/scenariusz,Diseño / Script,µğÀÚÀÎ/½ºÅ©¸³Æ®
STR_CREDITS15,QA/Compatibility,QS/Kompatibilität,Dohled nad kvalitou / Kompatibilita,Êîíòğîëü êà÷åñòâà/Ñîâìåñòèìîñòü,Kontrola jakoœci/zgodnosæ,QA / Compatibilidad,Ç°Áú º¸Áõ / È£È¯¼º
STR_CREDITS16,Marketing/PR,Marketing/PR,Marketing / Styk s veøejností,Ìàğêåòèíã/PR,Marketing/PR,Marketing / PR,¸¶ÄÉÆÃ / È«º¸
STR_CREDITS17,Voice Processing,Sprachbearbeitung,Zpracování hlasù,Ãîëîñîâàÿ îáğàáîòêà,Obróbka g³osów,Procesamiento de voz,À½¼º Ã³¸®
STR_CREDITS18,Voice Artists,Sprecher,Namlulvili,Ãîëîñîâûå àğòèñòû,Dubbing,Artistas de la voz,À½¼º ¾ÆÆ¼½ºÆ®
STR_CREDITS19,Localisation,Lokalisierung,Lokalilzace,Ëîêàëèçàöèÿ,Lokalizacja,Localización,ÇöÁöÈ­
STR_CREDITS20,Localisation Testing,Lokalisierungstest,Testování lokalizace,Òåñò ëîêàëèçàöèè,Testowanie lokalizacji,Prueba de localización,ÇöÁöÈ­ Å×½ºÆ®
STR_CREDITS21,Business/Legal,Geschäftliches/Rechtliches,Obchodní a právní záleitosti,Áèçíåñ/Ëåãàëèçàöèÿ,Sprawy handlowe i prawne,Negocios / Legal,ºñÁî´Ï½º / ¹ı·ü
STR_CREDITS22,Special Thanks,Besonderer Dank an,Zvláštní podìkování,Îñîáàÿ áëàãîäàğíîñòü,Podziêkowania specjalne,Agradecimientos especiales,µµ¿òÀ» ÁÖ½ÅºĞµé
STR_CREDITS23,© 2018 Bohemia Interactive. All rights reserved. Updated by [4RTech] OFP Clan.,© 2018 Bohemia Interactive. Alle Rechte vorbehalten. Aktualisiert von [4RTech] OFP Clan.,© 2018 Bohemia Interactive. All rights reserved. Updated by [4RTech] OFP Clan.,© 2018 Bohemia Interactive. Âñå ïğàâà çàùèùåíû. Îáíîâëåíî [4RTech] OFP Êëàíîì.,© 2018 Bohemia Interactive. Wszystkie prawa zastrze¿one. Aktualizacja [4RTech] OFP Clan.,© 2018 Bohemia Interactive. Todos los derechos reservados. Actualizados por [4RTech] OFP Clan.,(C) 2018 Bohemia Interactive. All rights reserved. Updated by [4RTech] OFP Clan.
STR_CREDITS24,"Vìnováno tìm, kteøí zemøeli, abychom my mohli ít.","Vìnováno tìm, kteøí zemøeli, abychom my mohli ít.","Vìnováno tìm, kteøí zemøeli, abychom my mohli ít.","Vìnováno tìm, kteøí zemøeli, abychom my mohli ít","Vìnováno tìm, kteøí zemøeli, abychom my mohli ít.","Vìnováno tìm, kteøí zemøeli, abychom my mohli ít.","Vìnováno tìm, kteøí zemøeli, abychom my mohli ít."
,,,,,,,
STR_CREDITSN13,Richard I Blenkinsop,Richard I Blenkinsop,Richard I Blenkinsop,Richard I Blenkinsop,Richard I Blenkinsop,Richard I Blenkinsop,Richard I Blenkinsop
STR_CREDITSN14,Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith,Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith,Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith,Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith,Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith,Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith,Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith
STR_CREDITSN15,Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys,Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys,Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys,Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys,Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys,Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys,Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys
STR_CREDITSN16,Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid,Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid,Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid,Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid,Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid,Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid,Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid
STR_CREDITSN17,Daniel Gardner\nLewis Griffin\nTim Bartlett,Daniel Gardner\nLewis Griffin\nTim Bartlett,Daniel Gardner\nLewis Griffin\nTim Bartlett,Daniel Gardner\nLewis Griffin\nTim Bartlett,Daniel Gardner\nLewis Griffin\nTim Bartlett,Daniel Gardner\nLewis Griffin\nTim Bartlett,Daniel Gardner\nLewis Griffin\nTim Bartlett
STR_CREDITSN18,Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov,Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov,Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov,Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov,Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov,Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov,Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov
STR_CREDITSN19,Linda Fletcher,Linda Fletcher,Linda Fletcher,Linda Fletcher,Linda Fletcher,Linda Fletcher,Warren Cho/Infogrames Korea\nSgt. Orion YOung/Asteris
STR_CREDITSN20,Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia,Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia,Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia,Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fransemeier\nEmma Garcia,Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia,Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia,Brehit\nPatrick\nJunho\nAplus
STR_CREDITSN21,Dean Trotman\nGary Rowe\nNav Sunner,Dean Trotman\nGary Rowe\nNav Sunner,Dean Trotman\nGary Rowe\nNav Sunner,Dean Trotman\nGary Rowe\nNav Sunner,Dean Trotman\nGary Rowe\nNav Sunner,Dean Trotman\nGary Rowe\nNav Sunner,Dean Trotman\nGary Rowe\nNav Sunner
STR_CREDITSN22,Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media),Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media),Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media),Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy\n(Rocket Media),Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media),Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media),Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media)
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
COMMENT,Quotations,Zitate,,Quotations,Cytaty,Citas,¸í¾ğ
STR_QUOTE_1,"A single death is a tragedy; a million deaths is a statistic.","Der Tod eines Mannes ist eine Tragödie, aber der Tod von Millionen nur eine Statistik.","Smrt jednotlivce je tragédie, smrt miliónù je statistika.",Âîéíû íà÷èíàşòñÿ â óìàõ ëşäåé.,"Jeden zabity to tragedia, miliony zabitych to statystyka.","Una única muerte es una tragedia, un millón de muertes es estadística.",ÇÑ¸íÀÇ Á×À½Àº ºñ±ØÀÌÁö¸¸ ¹é¸¸¸íÀÇ Á×À½Àº Åë°èÀÏ »ÓÀÌ´Ù.
STR_AUTHOR_1,Joseph Stalin,Josef Stalin,Josif Visarionoviè Stalin,Èç ïğåàìáóëû Óñòàâà ŞÍÅÑÊÎ,Józef Stalin,Josef Stalin,Á¶¼¼ÇÁ ½ºÅ»¸°
STR_QUOTE_2,I believe that people would be alive today if there were a death penalty.,"Ich bin überzeugt, dass Menschen heute am Leben wären, wenn es die Todesstrafe gäbe.","Vìøím tomu, e lidé by ili dodnes, kdyby se za smrt platila pokuta.","Îäíà ñìåğòü - òğàãåäèÿ, ìèëëèîí ñìåğòåé - ñòàòèñòèêà.","Moim zdaniem ludzie by jeszcze ¿yli, gdyby by³a kara œmierci.",Creo que habría más gente viva hoy día si hubiera pena de muerte.,»çÇüÁ¦µµ°¡ ÀÖ¾ú´õ¶ó¸é ¸¹Àº »ç¶÷µéÀÌ Á×Áö ¾Ê°í »ì¾Æ ÀÖ¾úÀ» °ÍÀÌ´Ù.
STR_AUTHOR_2,Nancy Reagan,Nancy Reagan,Nancy Reagan,Èîñèô Ñòàëèí,Nancy Reagan,Nancy Reagan,³½½Ã ·¹ÀÌ°Ç
STR_QUOTE_3,The quickest way to end a war is to lose it.,"Am schnellsten beendet man einen Krieg, indem man ihn verliert.","Nejrychlejší cesta, jak ukonèit válku, je prohrát ji.",Ñàìûé áûñòğûé ñïîñîá îêîí÷èòü âîéíó - ïğîèãğàòü åå.,Najszybszym sposobem na zakoñczenie wojny jest jej przegranie.,La manera más rápida de terminar una guerra es perderla.,ÀüÀïÀ» °¡Àå »¡¸® ³¡³»´Â ¹æ¹ıÀº ÀüÀï¿¡¼­ ÆĞÇÏ´Â °ÍÀÌ´Ù.
STR_AUTHOR_3,George Orwell,George Orwell,George Orwell,Äæîğäæ Îğóıëë,George Orwell,George Orwell,ÁÒÁö ¿ÀÀ£
STR_QUOTE_4,"I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and stones.","Ich bin nicht sicher, mit welchen Waffen der dritte Weltkrieg ausgetragen wird, aber im vierten Weltkrieg werden sie mit Stöcken und Steinen kämpfen.","Nevím, jakımi zbranìmi se bude bojovat ve 3. svìtové válce, ale ve 4. svìtové válce to budou klacky a kameny.","Âèäÿ áîé ñî ñòîğîíû, êàæäûé ìíèò ñåáÿ ñòğàòåãîì.","Nie wiem, jaka broñ bêdzie w u¿yciu w III Wojnie Œwiatowej, ale w IV Wojnie Œwiatowej ludzie bêd¹ walczyæ na kije i kamienie.","No sé qué armas se utilizarán en la Tercera Guerra Mundial, pero lo que sí sé es que en la Cuarta se volverá a los garrotes y a las piedras.",Á¦ 3Â÷ ¼¼°è´ëÀü¿¡¼­ ¾î¶² ¹«±â°¡ »ç¿ëµÉÁö ¸ğ¸£°ÚÁö¸¸ Á¦ 4Â÷ ¼¼°è´ëÀü¿¡¼­´Â ¸ùµÕÀÌ¿Í µ¿¸ÍÀÌ¸¦ ¹«±â·Î ÀüÀïÀÌ ÀÏ¾î³¯ °ÍÀÌ´Ù.
STR_AUTHOR_4,Albert Einstein,Albert Einstein,Albert Einstein,Êîçüìà Ïğóòêîâ,Albert Einstein,Albert Einstein,¾Ë¹öÆ® ¾ÆÀÎ½ºÅ¸ÀÎ
STR_QUOTE_5,War is much too serious a matter to be entrusted to the military.,"Der Krieg ist viel zu wichtig, um ihn dem Militär anzuvertrauen.","Válka je pøíliš vánou záleitostí, ne aby mohla bıt svìøena armádì.","Âîéíà çàêîí÷åíà ëèøü òîãäà, êîãäà ïîõîğîíåí ïîñëåäíèé ñîëäàò.","Wojna to zbyt powa¿na sprawa, aby j¹ powierzyæ wojskowym.",La guerra es un asunto demasiado delicado para dejarlo en mano de los militares.,±º¿¡°Ô ¸Ã±â±â¿¡ ÀüÀïÀº ³Ê¹«³ª ½É°¢ÇÑ ¹®Á¦ÀÌ´Ù.
STR_AUTHOR_5,Georges Clemenceau,Georges Clemenceau,Georges Clemenceau,Àëåêñàíäğ Ñóâîğîâ,Georges Clemenceau,Georges Clemenceau,Á¶Áö Å¬·¹¸Á¼Ò
STR_QUOTE_6,War is a series of disasters which result in a winner.,"Der Krieg ist eine Serie von Fehlschlägen, aus der ein Sieger hervorgeht.","Válka je sérií katastrof, které rozhodnou o vítìzi.","Âîéíà - ñïîñîá ğàçâÿçûâàíèÿ çóáàìè ïîëèòè÷åñêîãî óçëà, êîòîğûé íå ïîääàåòñÿ ÿçûêó.","Wojna to szereg nieszczêœæ, z których wy³ania siê zwyciêzca.",La guerra es un conjunto de desastres que concluyen con un ganador.,ÀüÀïÀº ÇÑ¸íÀÇ ½ÂÀÚ¸¸ÀÌ ³²´Â Àç³­ÀÇ ¿¬¼ÓÀÌ´Ù.
STR_AUTHOR_6,Georges Clemenceau,Georges Clemenceau,Georges Clemenceau,Àìáğîç Áèğñ,Georges Clemenceau,Georges Clemenceau,Á¶Áö Å¬·¹¸Á¼Ò
STR_QUOTE_7,War is not nice.,Krieg ist nicht nett.,Válka není pìkná.,Â âîéíå íå áûâàåò âûèãğàâøèõ - òîëüêî ïğîèãğàâøèå.,Wojna to nic przyjemnego.,La guerra no es agradable.,ÀüÀïÀº ÈÇ¸¢ÇÏÁö ¸øÇÑ °ÍÀÌ´Ù.
STR_AUTHOR_7,Barbara Bush,Barbara Bush,Barbara Bush,Àğòóğ Íåâèëë ×åìáåğëåí,Barbara Bush,Barbara Bush,¹Ù¹Ù¶ó ºÎ½Ã
